source,dest
https://experienceleague.adobe.com/docs/workfront-learn/tutorials-workfront/manage-work/project-finances/project-finance-page.html,https://experienceleague.adobe.com/docs/workfront-learn/tutorials-workfront/manage-work/project-finances/find-financial-information.html
https://experienceleague.adobe.com/docs/workfront-learn/tutorials-workfront/workfront-proof/adinistration-and-setup-for-proof/email-alert-vs-proof-notification.html,https://experienceleague.adobe.com/docs/workfront-learn/tutorials-workfront/workfront-proof/administration-and-setup-for-proof/email-alert-vs-proof-notification.html
https://experienceleague.adobe.com/docs/workfront-learn/tutorials-workfront/manage-work/project-finances/exchange-rates-in-workfront.html,https://experienceleague.adobe.com/docs/workfront-learn/tutorials-workfront/manage-work/project-finances/set-up-exchange-rates.html
https://experienceleague.adobe.com/docs/workfront-learn/tutorials-workfront/workfront-proof/adinistration-and-setup-for-proof/proof-roles-and-email-alerts.html,https://experienceleague.adobe.com/docs/workfront-learn/tutorials-workfront/workfront-proof/administration-and-setup-for-proof/proof-roles-and-email-alerts.html
https://experienceleague.adobe.com/docs/workfront-learn/tutorials-workfront/administration-and-setup/conifgure-system-defaults/create-and-manage-issue-severities.html,https://experienceleague.adobe.com/docs/workfront-learn/tutorials-workfront/administration-and-setup/configure-system-defaults/create-and-manage-issue-severities.html
https://experienceleague.adobe.com/docs/workfront-learn/tutorials-workfront/adobe-workfront-goals/manage-goals/goal-alignment.html,https://experienceleague.adobe.com/docs/workfront-learn/tutorials-workfront/workfront-goals/manage-goals/align-your-goals.html
https://experienceleague.adobe.com/docs/workfront-learn/tutorials-workfront/administration-and-setup/conifgure-system-defaults/customize-issue-types-and-terminology.html,https://experienceleague.adobe.com/docs/workfront-learn/tutorials-workfront/administration-and-setup/configure-system-defaults/customize-issue-types-and-terminology.html
https://experienceleague.adobe.com/docs/workfront-learn/tutorials-workfront/administration-and-setup/conifgure-system-defaults/configure-global-default-issue-preferences.html,https://experienceleague.adobe.com/docs/workfront-learn/tutorials-workfront/administration-and-setup/configure-system-defaults/configure-global-default-issue-preferences.html
https://experienceleague.adobe.com/docs/workfront-learn/tutorials-workfront/workfront-proof/adinistration-and-setup-for-proof/report-on-proofs.html,https://experienceleague.adobe.com/docs/workfront-learn/tutorials-workfront/workfront-proof/administration-and-setup-for-proof/report-on-proofs.html
https://experienceleague.adobe.com/docs/workfront-learn/tutorials-workfront/workfront-proof/adinistration-and-setup-for-proof/create-template-groups.html,https://experienceleague.adobe.com/docs/workfront-learn/tutorials-workfront/workfront-proof/proof-workflows/create-template-groups.html
https://experienceleague.adobe.com/docs/workfront-learn/tutorials-workfront/administration-and-setup/conifgure-system-defaults/configure-global-default-project-settings.html,https://experienceleague.adobe.com/docs/workfront-learn/tutorials-workfront/administration-and-setup/configure-system-defaults/configure-global-default-project-settings.html
https://experienceleague.adobe.com/docs/workfront-learn/tutorials-workfront/workfront-proof/adinistration-and-setup-for-proof/set-default-proof-roles.html,https://experienceleague.adobe.com/docs/workfront-learn/tutorials-workfront/workfront-proof/administration-and-setup-for-proof/set-default-proof-roles.html
https://experienceleague.adobe.com/docs/workfront-learn/tutorials-workfront/workfront-proof/adinistration-and-setup-for-proof/set-default-at-risk-proof-settings.html,https://experienceleague.adobe.com/docs/workfront-learn/tutorials-workfront/workfront-proof/administration-and-setup-for-proof/set-default-at-risk-proof-settings.html
https://experienceleague.adobe.com/docs/workfront-learn/tutorials-workfront/workfront-proof/adinistration-and-setup-for-proof/edit-an-automated-workflow-template.html,https://experienceleague.adobe.com/docs/workfront-learn/tutorials-workfront/workfront-proof/proof-workflows/edit-an-automated-workflow-template.html
https://experienceleague.adobe.com/docs/workfront-learn/tutorials-workfront/workfront-proof/adinistration-and-setup-for-proof/create-an-automated-workflow-template.html,https://experienceleague.adobe.com/docs/workfront-learn/tutorials-workfront/workfront-proof/proof-workflows/create-an-automated-workflow-template.html
